datetime,data,type,unit,network,region
2013-02-01 00:00:00,207.5,gas_ccgt,MW,nem,TAS1
2013-02-01 00:05:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 00:10:00,206.6,gas_ccgt,MW,nem,TAS1
2013-02-01 00:15:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 00:20:00,208.1,gas_ccgt,MW,nem,TAS1
2013-02-01 00:25:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 00:30:00,207.1,gas_ccgt,MW,nem,TAS1
2013-02-01 00:35:00,208.0,gas_ccgt,MW,nem,TAS1
2013-02-01 00:40:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 00:45:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 00:50:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 00:55:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 01:00:00,207.2,gas_ccgt,MW,nem,TAS1
2013-02-01 01:05:00,207.2,gas_ccgt,MW,nem,TAS1
2013-02-01 01:10:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 01:15:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 01:20:00,206.8,gas_ccgt,MW,nem,TAS1
2013-02-01 01:25:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 01:30:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 01:35:00,208.4,gas_ccgt,MW,nem,TAS1
2013-02-01 01:40:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 01:45:00,207.9,gas_ccgt,MW,nem,TAS1
2013-02-01 01:50:00,207.5,gas_ccgt,MW,nem,TAS1
2013-02-01 01:55:00,207.1,gas_ccgt,MW,nem,TAS1
2013-02-01 02:00:00,206.3,gas_ccgt,MW,nem,TAS1
2013-02-01 02:05:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 02:10:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 02:15:00,206.7,gas_ccgt,MW,nem,TAS1
2013-02-01 02:20:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 02:25:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 02:30:00,207.1,gas_ccgt,MW,nem,TAS1
2013-02-01 02:35:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 02:40:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 02:45:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 02:50:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 02:55:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 03:00:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 03:05:00,207.0,gas_ccgt,MW,nem,TAS1
2013-02-01 03:10:00,207.5,gas_ccgt,MW,nem,TAS1
2013-02-01 03:15:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 03:20:00,207.0,gas_ccgt,MW,nem,TAS1
2013-02-01 03:25:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 03:30:00,207.9,gas_ccgt,MW,nem,TAS1
2013-02-01 03:35:00,207.5,gas_ccgt,MW,nem,TAS1
2013-02-01 03:40:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 03:45:00,207.0,gas_ccgt,MW,nem,TAS1
2013-02-01 03:50:00,208.2,gas_ccgt,MW,nem,TAS1
2013-02-01 03:55:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 04:00:00,207.5,gas_ccgt,MW,nem,TAS1
2013-02-01 04:05:00,208.1,gas_ccgt,MW,nem,TAS1
2013-02-01 04:10:00,207.9,gas_ccgt,MW,nem,TAS1
2013-02-01 04:15:00,207.3,gas_ccgt,MW,nem,TAS1
2013-02-01 04:20:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 04:25:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 04:30:00,207.2,gas_ccgt,MW,nem,TAS1
2013-02-01 04:35:00,207.0,gas_ccgt,MW,nem,TAS1
2013-02-01 04:40:00,207.9,gas_ccgt,MW,nem,TAS1
2013-02-01 04:45:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 04:50:00,208.1,gas_ccgt,MW,nem,TAS1
2013-02-01 04:55:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 05:00:00,208.0,gas_ccgt,MW,nem,TAS1
2013-02-01 05:05:00,208.0,gas_ccgt,MW,nem,TAS1
2013-02-01 05:10:00,207.0,gas_ccgt,MW,nem,TAS1
2013-02-01 05:15:00,208.0,gas_ccgt,MW,nem,TAS1
2013-02-01 05:20:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 05:25:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 05:30:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 05:35:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 05:40:00,206.8,gas_ccgt,MW,nem,TAS1
2013-02-01 05:45:00,206.8,gas_ccgt,MW,nem,TAS1
2013-02-01 05:50:00,207.2,gas_ccgt,MW,nem,TAS1
2013-02-01 05:55:00,208.1,gas_ccgt,MW,nem,TAS1
2013-02-01 06:00:00,207.9,gas_ccgt,MW,nem,TAS1
2013-02-01 06:05:00,207.8,gas_ccgt,MW,nem,TAS1
2013-02-01 06:10:00,208.1,gas_ccgt,MW,nem,TAS1
2013-02-01 06:15:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 06:20:00,207.3,gas_ccgt,MW,nem,TAS1
2013-02-01 06:25:00,207.1,gas_ccgt,MW,nem,TAS1
2013-02-01 06:30:00,207.5,gas_ccgt,MW,nem,TAS1
2013-02-01 06:35:00,207.6,gas_ccgt,MW,nem,TAS1
2013-02-01 06:40:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 06:45:00,208.2,gas_ccgt,MW,nem,TAS1
2013-02-01 06:50:00,207.4,gas_ccgt,MW,nem,TAS1
2013-02-01 06:55:00,207.9,gas_ccgt,MW,nem,TAS1
2013-02-01 07:00:00,206.9,gas_ccgt,MW,nem,TAS1
2013-02-01 07:05:00,208.3,gas_ccgt,MW,nem,TAS1
2013-02-01 07:10:00,207.7,gas_ccgt,MW,nem,TAS1
2013-02-01 07:15:00,207.9,gas_ccgt,MW,nem,TAS1
