datetime,data,type,unit,network,region
2018-06-01 00:00:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:05:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:10:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:15:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:20:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:25:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:30:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:35:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:40:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:45:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:50:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 00:55:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:00:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:05:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:10:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:15:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:20:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:25:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:30:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:35:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:40:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:45:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:50:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 01:55:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:00:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:05:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:10:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:15:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:20:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:25:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:30:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:35:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:40:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:45:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:50:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 02:55:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:00:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:05:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:10:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:15:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:20:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:25:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:30:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:35:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:40:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:45:00,0.0,gas_ocgt,MW,nem,TAS1
2018-06-01 03:50:00,0.0,gas_ocgt,MW,nem,TAS1
