月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2019/1/1,0時,95523.2,9144,230,3791,78752.9,1266.9,1384.4,0,0.0,0,962
2019/1/1,1時,93129.1,9146,231,3881,76501.1,1265.9,1354.1,0,0.0,0,744
2019/1/1,2時,92090.7,9146,230,4109,75287.6,1262.9,1353.2,0,0.0,0,700
2019/1/1,3時,90745.0,9146,232,4421,73622.0,1263.9,1332.1,0,0.0,0,727
2019/1/1,4時,88693.4,9148,232,4281,72225.8,1262.9,1404.7,0,0.0,0,146
2019/1/1,5時,86387.7,9146,231,3959,70426.1,1260.9,1432.7,0,0.0,0,-64
2019/1/1,6時,86575.4,9147,231,4018,70637.8,1265.9,1437.7,0,0.0,0,-160
2019/1/1,7時,89175.3,9144,230,4033,71929.7,1213.9,1388.0,0,1456.7,0,-220
2019/1/1,8時,92694.6,9145,230,3737,68928.2,1142.2,1354.2,0,8382.0,0,-219
2019/1/1,9時,89838.3,9146,231,3491,60785.1,1103.2,1369.9,0,15330.1,0,-1608
2019/1/1,10時,84957.5,9146,229,3288,56295.1,1086.2,1461.3,0,20264.9,0,-6804
2019/1/1,11時,81418.8,9143,231,3346,55120.7,1082.2,1462.4,0,21977.5,0,-10943
2019/1/1,12時,79314.7,9143,229,3335,55297.4,1093.2,1436.0,0,20924.1,0,-12146
2019/1/1,13時,77881.8,9145,231,3326,56471.1,1112.2,1421.1,0,17488.4,0,-11316
2019/1/1,14時,78013.7,9143,229,3428,58499.9,1140.2,1344.0,0,11624.6,0,-7397
2019/1/1,15時,80098.2,9144,233,3758,61643.4,1184.2,1302.3,0,4859.3,0,-2025
2019/1/1,16時,85623.3,9143,232,4581,68839.1,1208.2,1301.2,0,610.8,0,-296
2019/1/1,17時,93964.6,9141,230,5764,75588.1,1213.2,1229.3,0,14.0,0,789
2019/1/1,18時,96124.3,9142,232,6338,76882.0,1213.2,1208.1,0,0.0,0,1113
2019/1/1,19時,95794.9,9143,231,6078,76840.9,1222.2,1224.8,0,0.0,0,1058
2019/1/1,20時,95464.4,9140,228,5611,76592.0,1220.9,1213.5,0,0.0,0,1461
2019/1/1,21時,94227.9,9141,231,5025,75553.3,1212.9,1298.7,0,0.0,0,1772
2019/1/1,22時,90407.7,9145,233,4327,72061.5,1243.9,1347.3,0,0.0,0,2052
2019/1/1,23時,88173.9,9146,234,4114,70083.9,1278.9,1377.1,0,0.0,0,1937
2019/1/2,0時,83806.3,9144,228,3573,67941.1,1283.9,1350.3,0,0.0,0,280
2019/1/2,1時,82533.9,9145,227,3575,66747.7,1284.9,1301.3,0,0.0,0,254
2019/1/2,2時,83763.2,9146,229,3868,67072.5,1278.9,1301.8,0,0.0,0,870
2019/1/2,3時,84167.1,9146,227,4457,66710.4,1280.9,1348.8,0,0.0,0,1004
2019/1/2,4時,83281.4,9146,228,4453,65995.8,1279.9,1389.7,0,0.0,0,796
2019/1/2,5時,82352.1,9147,228,3729,66403.7,1279.9,1402.5,0,0.0,0,159
