"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","224","n/e","n/e","1076","n/e","0","n/e","n/e","n/e","","895","6","n/e","n/e","5967","456","n/e","0","252","1454","408"
"Belgium (BE)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","213","n/e","n/e","1036","n/e","0","n/e","n/e","n/e","","891","6","n/e","n/e","5968","477","n/e","0","255","1424","339"
"Belgium (BE)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","223","n/e","n/e","1002","n/e","0","n/e","n/e","n/e","","966","6","n/e","n/e","5968","463","n/e","0","257","1451","423"
"Belgium (BE)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","284","n/e","n/e","1080","n/e","0","n/e","n/e","n/e","","935","6","n/e","n/e","5967","460","n/e","0","257","1372","437"
"Belgium (BE)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","262","n/e","n/e","1078","n/e","0","n/e","n/e","n/e","","243","6","n/e","n/e","5968","498","n/e","0","256","1266","574"
"Belgium (BE)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","255","n/e","n/e","1070","n/e","0","n/e","n/e","n/e","110","","6","n/e","n/e","5970","517","n/e","0","255","1518","660"
"Belgium (BE)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","258","n/e","n/e","1114","n/e","0","n/e","n/e","n/e","116","","6","n/e","n/e","5971","532","n/e","0","254","1464","634"
"Belgium (BE)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","259","n/e","n/e","1167","n/e","0","n/e","n/e","n/e","294","","7","n/e","n/e","5972","618","n/e","0","257","1438","604"
"Belgium (BE)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","258","n/e","n/e","1136","n/e","0","n/e","n/e","n/e","121","","7","n/e","n/e","5972","695","n/e","120","266","1739","660"
"Belgium (BE)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","254","n/e","n/e","1084","n/e","0","n/e","n/e","n/e","8","12","7","n/e","n/e","5967","602","n/e","313","267","1989","585"
